a_75,a_205,a_67,a_388,a_197,a_103,a_276,a_150,a_20,a_155,classe
486,477,490,491,485,462,477,520,474,534,1
496,477,485,486,481,454,477,557,470,516,-1
466,478,504,495,481,451,477,492,526,471,-1
471,475,493,504,490,473,475,473,482,475,1
487,475,510,505,480,439,477,493,461,478,-1
553,475,490,485,492,474,475,484,484,532,-1
464,474,479,511,483,473,476,506,489,505,-1
522,476,541,495,495,478,476,478,477,424,-1
477,477,464,528,477,481,476,527,486,538,1
489,478,490,480,483,467,476,467,513,448,-1
537,474,505,494,481,466,476,440,488,536,-1
525,478,520,500,488,491,477,459,485,523,-1
526,474,479,521,474,466,475,483,473,478,1
460,475,500,492,501,447,477,513,495,501,1
535,474,480,490,490,471,476,475,494,502,1
514,475,500,465,476,460,477,486,493,457,1
392,477,474,487,478,474,476,525,479,485,-1
519,476,469,509,476,478,476,420,488,465,1
503,477,503,482,489,499,475,415,499,500,1
492,478,499,507,475,496,477,517,491,478,1
508,476,495,525,508,500,476,541,510,486,1
547,475,517,488,488,462,474,516,484,519,-1
509,475,488,491,494,464,477,535,474,398,-1
570,475,485,461,492,457,476,444,472,492,1
602,478,501,478,476,474,477,476,502,489,1
551,474,503,500,480,470,477,530,501,539,1
524,474,500,519,482,489,476,446,492,493,1
457,475,490,466,469,479,477,481,498,521,1
410,476,491,503,489,491,477,410,469,514,-1
513,477,452,474,484,478,477,460,476,519,-1
472,476,462,523,493,488,477,497,491,477,1
500,476,507,479,479,479,475,466,490,501,1
527,476,490,504,470,478,475,556,464,500,1
514,477,501,550,486,479,476,496,475,506,1
452,477,496,476,492,503,475,513,475,478,1
515,476,480,465,481,469,477,500,491,534,1
525,477,491,486,493,485,475,439,490,500,1
506,476,509,496,472,477,477,503,467,494,1
423,476,489,492,491,485,477,505,481,438,1
561,474,477,521,499,464,477,468,494,450,-1
478,477,527,550,481,503,477,373,478,502,1
520,478,508,481,474,487,477,439,485,473,-1
426,475,464,483,501,503,476,470,501,489,-1
490,474,510,526,484,458,476,502,475,459,1
421,476,476,456,484,496,475,536,497,485,1
490,476,496,489,501,460,476,511,480,520,-1
412,476,470,479,476,482,477,548,468,522,1
488,476,500,492,483,490,477,523,508,462,1
482,474,496,469,486,463,476,472,479,485,-1
533,477,500,484,488,468,476,572,476,513,-1
408,474,491,498,486,469,477,514,490,509,1
457,477,487,527,499,476,477,478,503,517,-1
445,476,450,497,481,479,477,465,475,445,1
517,477,483,467,470,471,476,538,470,462,1
518,475,487,497,485,472,476,485,469,508,1
506,475,485,485,482,474,476,435,486,478,1
484,473,521,474,481,476,476,533,462,448,1
515,474,511,491,482,479,476,530,470,491,-1
435,476,516,483,481,465,476,488,486,513,1
468,478,467,507,489,485,475,502,491,484,-1
481,474,507,489,483,489,476,409,494,449,-1
429,478,488,525,488,474,477,516,490,496,-1
527,477,503,511,479,480,475,475,475,498,1
554,477,486,483,488,481,476,544,505,481,1
493,476,497,521,487,496,477,544,484,455,1
456,474,485,497,481,465,477,521,504,485,-1
431,478,538,467,480,490,478,409,489,498,-1
470,477,474,499,495,464,475,472,491,507,1
440,476,478,503,493,496,476,466,491,505,-1
403,476,489,494,472,490,476,441,489,535,1
494,475,465,511,481,508,476,523,503,478,-1
508,477,490,479,485,470,476,528,478,497,1
522,478,492,507,469,488,476,495,485,518,1
500,477,508,499,496,484,475,478,499,435,1
609,475,452,488,497,501,476,419,483,520,1
454,477,442,465,497,494,476,495,504,501,-1
499,475,462,523,488,489,476,432,491,500,-1
461,477,464,515,489,476,477,495,481,461,-1
556,474,505,496,476,472,477,471,472,470,-1
518,475,505,499,479,497,476,504,489,473,1
506,477,484,477,486,495,475,448,493,455,1
558,476,446,475,485,465,476,468,486,519,-1
468,476,465,476,482,470,477,552,482,488,-1
490,478,502,469,472,473,476,497,451,498,1
508,475,498,504,485,515,476,487,514,493,1
528,477,440,504,483,478,476,470,482,519,-1
510,478,508,483,493,472,476,513,470,488,-1
476,475,469,482,487,468,475,447,498,499,-1
428,476,450,479,477,475,477,480,505,506,-1
491,476,473,505,478,475,475,459,478,507,-1
503,476,476,504,498,488,476,472,502,536,1
498,479,490,488,493,493,477,443,478,429,1
551,475,510,522,481,486,476,482,486,492,-1
504,477,482,490,484,483,476,427,487,483,-1
472,474,471,498,482,484,475,465,483,512,1
500,477,501,491,471,472,476,444,497,451,-1
544,477,449,499,504,444,476,472,493,532,1
507,477,491,483,472,467,475,520,514,494,1
532,476,507,496,479,481,475,490,506,503,1
502,475,503,483,496,480,476,441,482,509,1
502,476,493,490,482,477,476,492,509,440,-1
492,476,487,469,474,496,476,575,474,500,-1
432,479,486,485,485,490,476,519,482,456,-1
455,476,528,486,480,445,477,424,480,444,1
521,476,458,508,473,453,477,518,499,490,-1
486,478,512,494,482,473,476,455,475,487,1
499,474,458,493,500,495,476,487,488,502,-1
555,476,475,507,484,504,477,494,486,474,1
513,475,481,519,474,496,476,438,494,465,1
482,474,487,474,501,502,477,546,488,506,1
536,476,534,528,491,456,477,469,467,527,1
548,477,495,483,479,466,477,407,477,428,-1
537,477,503,493,486,476,475,495,499,514,1
570,475,513,479,474,473,476,456,478,456,1
469,476,430,507,489,465,476,470,483,449,1
478,476,491,484,483,474,476,469,465,534,-1
556,476,468,495,476,441,476,461,493,497,1
512,475,478,467,474,461,476,433,480,469,-1
540,477,485,513,492,484,476,505,479,489,-1
477,478,501,484,485,453,477,498,487,530,-1
502,476,471,494,475,478,477,444,473,492,-1
581,475,515,505,488,502,476,464,479,500,1
553,479,475,499,493,473,475,531,482,472,1
483,477,493,477,491,496,476,502,520,494,1
506,479,486,540,484,481,476,526,475,533,1
429,476,465,488,495,476,476,437,491,452,-1
498,476,497,477,478,477,476,489,506,531,1
466,475,481,489,483,498,476,444,483,497,1
506,474,462,486,481,455,476,456,502,490,-1
515,476,532,484,491,466,476,418,478,489,-1
433,475,471,489,480,490,475,511,478,489,1
436,477,521,487,483,493,476,525,470,517,1
471,476,482,506,480,484,477,442,485,489,-1
500,476,527,463,472,455,477,455,491,491,-1
470,476,461,498,485,491,476,539,456,434,-1
433,477,478,513,489,453,475,505,488,506,1
506,475,474,529,482,460,475,497,476,535,1
520,475,490,487,484,477,477,476,485,456,-1
547,476,514,469,471,463,476,475,492,554,-1
516,477,538,504,478,482,476,525,497,468,-1
417,474,467,481,483,468,476,413,480,519,-1
452,475,505,484,489,478,475,460,484,514,1
517,474,470,521,484,476,476,515,490,453,-1
493,476,469,469,482,467,477,556,470,523,1
458,475,483,485,484,483,476,508,483,506,1
522,475,476,496,487,485,477,450,469,490,-1
501,475,508,498,480,445,476,533,480,452,1
487,477,489,464,496,476,476,517,480,485,1
459,475,508,517,501,484,477,446,496,455,-1
513,475,494,481,481,472,475,591,484,448,1
498,476,489,531,478,507,475,490,476,544,-1
496,477,479,561,478,506,475,443,478,521,1
469,477,487,489,500,457,476,546,468,507,-1
506,474,456,490,480,456,476,529,488,484,1
446,474,477,483,483,483,477,479,470,530,1
517,478,488,474,467,494,476,443,487,505,1
510,477,506,494,489,467,475,401,496,474,-1
485,475,503,484,490,467,476,570,498,486,-1
515,479,492,483,488,467,476,446,510,486,-1
545,475,469,483,481,475,477,532,470,471,1
481,478,506,522,480,473,475,476,465,478,1
500,478,477,480,474,513,477,577,489,482,-1
490,475,458,489,490,455,477,485,467,486,-1
546,478,519,514,490,477,476,455,479,495,1
456,477,510,505,478,490,476,500,482,470,-1
505,479,536,482,467,448,476,544,482,510,1
497,473,511,519,472,477,477,485,474,524,-1
495,478,465,503,480,503,476,473,503,504,1
503,475,519,512,466,473,475,493,483,496,1
543,476,466,482,477,485,476,396,476,461,1
453,475,483,495,470,489,477,463,487,473,-1
511,477,507,480,493,467,476,466,477,461,-1
488,474,463,487,495,467,476,475,489,510,1
592,475,487,476,481,493,476,496,512,502,-1
424,477,484,464,489,504,476,446,488,447,-1
580,475,509,477,490,470,476,449,485,469,1
465,477,459,502,480,482,477,498,488,480,-1
512,476,486,552,465,475,476,485,492,458,-1
476,476,524,485,505,473,476,499,500,458,1
491,474,492,545,482,477,476,505,508,500,1
522,477,501,504,480,502,476,507,486,498,-1
485,477,494,494,479,459,477,461,483,472,1
454,476,526,497,479,489,476,511,498,461,1
454,480,493,530,471,469,476,463,460,509,-1
539,475,494,478,491,488,476,536,477,437,1
526,476,528,509,479,488,476,460,468,513,-1
500,477,514,466,466,494,477,490,481,495,-1
545,473,524,524,478,492,475,466,489,439,1
452,477,455,484,478,454,477,465,494,496,-1
556,477,454,516,482,462,476,446,472,546,-1
535,477,470,493,486,486,477,419,475,482,1
426,476,514,512,474,473,475,497,472,434,-1
474,473,475,492,482,497,477,464,481,469,-1
522,476,479,480,488,465,476,533,474,497,1
474,477,506,517,487,476,476,535,455,495,-1
493,477,479,518,507,473,476,495,478,499,-1
441,476,485,516,490,507,475,480,479,491,-1
483,475,467,488,472,483,476,467,501,489,-1
511,478,491,480,491,473,477,537,488,509,1
539,477,497,518,465,478,478,476,469,464,1
508,475,443,471,472,487,477,543,497,498,-1
531,476,517,503,478,470,477,465,464,482,-1
486,476,515,481,486,474,477,511,497,483,-1
463,474,475,498,487,494,475,443,457,484,-1
445,475,483,477,483,478,476,355,495,489,-1
546,474,480,505,492,491,476,491,483,473,1
415,477,515,469,484,457,476,471,483,457,1
479,477,469,487,498,468,476,492,465,458,1
417,477,501,513,465,476,477,468,472,514,1
501,475,511,493,492,456,476,541,502,490,-1
448,475,449,491,479,481,476,490,482,466,-1
470,476,490,495,484,462,476,534,487,496,-1
526,475,484,453,486,507,476,546,491,486,-1
512,475,466,531,484,471,477,431,500,484,-1
431,478,475,474,491,484,477,485,492,486,-1
516,476,492,528,494,475,476,547,502,522,1
555,478,486,470,477,475,478,504,507,485,-1
491,476,482,501,477,478,476,484,483,491,1
494,476,497,504,483,480,477,572,472,504,-1
390,477,502,479,479,488,477,513,458,498,1
528,477,478,509,483,469,477,525,487,473,1
479,478,460,499,480,475,477,497,478,466,-1
477,478,492,491,501,465,477,496,465,466,1
476,476,523,497,479,470,476,519,472,502,-1
488,476,523,533,477,467,477,476,480,495,1
551,477,489,522,479,501,476,434,475,488,-1
540,475,485,463,480,464,476,430,489,519,1
597,475,502,515,487,464,475,486,480,519,-1
515,477,450,476,485,461,476,517,476,468,-1
503,474,488,470,484,482,477,561,495,455,-1
525,477,500,489,491,471,476,438,466,511,-1
475,477,474,481,486,479,476,449,491,499,1
542,475,516,520,494,469,476,507,487,504,-1
501,474,474,526,486,471,475,557,496,488,1
489,475,493,501,489,470,476,518,488,497,1
492,474,474,492,479,463,476,498,495,483,-1
562,474,496,506,488,487,475,457,470,498,1
437,476,487,493,491,512,477,486,493,492,-1
471,476,481,492,475,473,476,493,484,502,-1
534,474,495,511,472,486,475,471,459,455,1
489,477,525,493,481,464,476,530,488,464,1
543,478,490,482,477,452,476,524,501,505,1
483,475,472,517,486,476,476,492,494,508,-1
557,476,495,503,486,486,476,461,504,534,1
461,476,482,481,477,463,475,492,486,484,-1
589,475,500,486,492,497,476,552,459,493,-1
430,475,507,506,479,476,476,504,495,477,-1
475,475,493,478,496,484,477,512,495,453,-1
513,475,536,501,474,494,477,491,490,515,-1
522,476,470,514,468,487,477,455,447,469,1
545,477,516,481,489,477,477,506,510,506,-1
540,475,486,498,469,490,476,522,472,471,1
536,476,509,474,488,486,476,574,482,514,-1
576,477,484,536,489,481,477,477,512,441,1
509,474,497,518,482,470,477,485,499,463,1
475,476,492,518,484,472,477,468,475,500,1
569,476,485,552,484,469,476,474,475,418,1
496,476,492,514,490,505,476,423,476,497,1
462,478,497,518,493,464,476,522,491,470,-1
524,475,504,544,505,478,476,430,476,447,1
457,476,497,481,506,481,475,550,495,481,-1
571,477,464,510,488,479,476,522,504,492,-1
498,476,515,499,487,483,474,539,472,482,-1
545,479,475,470,498,463,476,502,476,504,-1
547,474,475,500,489,457,476,496,465,471,1
568,475,512,481,486,488,477,435,509,500,1
471,475,477,512,494,471,476,455,493,471,-1
507,474,511,526,483,460,476,504,489,446,1
525,478,538,504,485,480,477,474,516,484,-1
460,473,437,492,472,472,476,510,500,487,1
484,477,489,503,468,485,476,521,504,433,-1
470,476,483,465,504,468,477,561,472,478,-1
504,478,483,517,479,465,476,549,480,474,-1
485,476,510,512,483,472,476,533,473,520,-1
550,476,485,480,472,478,476,468,479,487,-1
510,474,465,514,483,478,478,443,482,496,1
485,474,495,489,471,493,475,460,457,473,1
576,475,488,498,492,473,476,475,505,480,1
553,474,505,480,495,475,476,508,484,509,-1
511,475,552,471,490,451,476,479,485,480,1
529,475,502,461,479,472,477,448,488,497,1
518,475,501,468,475,482,475,486,507,453,1
534,478,499,487,490,482,477,492,481,507,-1
478,477,517,533,488,506,476,571,479,492,-1
566,474,499,484,500,491,477,491,485,463,1
525,476,503,505,486,486,476,531,498,493,-1
481,477,502,491,495,494,476,519,455,515,-1
519,476,482,537,472,471,475,439,498,484,-1
490,474,514,473,494,462,477,502,487,495,-1
523,474,521,493,474,480,477,494,488,483,1
531,476,483,492,502,470,475,455,490,485,-1
468,476,497,488,483,474,476,509,471,511,1
509,478,524,517,477,475,477,491,494,500,-1
493,477,527,478,496,482,476,536,500,489,1
461,476,511,493,485,454,476,501,479,471,1
480,475,483,499,492,475,475,514,482,480,1
485,476,493,517,486,474,476,533,474,476,-1
474,478,510,438,496,461,476,387,488,473,1
526,477,504,488,486,457,476,462,480,494,1
522,475,498,476,498,476,476,471,483,505,1
507,475,436,510,476,483,476,457,485,486,1
477,475,478,517,483,459,475,516,492,460,1
519,474,522,511,484,457,476,471,470,530,1
483,475,510,497,483,482,476,486,499,515,1
511,475,505,479,487,486,476,469,482,450,1
496,479,507,499,489,479,477,521,483,497,1
449,475,497,495,491,465,477,528,482,475,1
508,475,474,513,461,476,476,458,485,495,-1
471,475,515,520,496,456,476,451,477,479,1
499,473,470,460,469,451,476,516,497,502,-1
478,480,484,505,480,475,476,544,485,487,-1
509,476,506,490,476,468,477,431,480,498,1
485,479,497,481,485,476,476,515,473,519,-1
552,476,498,515,487,478,476,495,496,477,-1
544,478,485,496,479,472,476,438,485,492,-1
542,476,467,492,471,488,477,483,498,467,-1
458,475,439,518,479,516,476,463,511,451,1
432,475,470,492,479,483,477,428,505,466,1
440,475,517,468,494,491,476,476,491,488,-1
494,474,492,500,486,488,476,529,501,545,-1
497,476,483,484,477,459,477,434,480,492,1
545,475,459,498,477,469,476,513,492,498,1
495,477,460,527,480,479,477,464,474,469,1
463,476,509,507,472,464,476,541,504,546,-1
524,475,499,496,484,472,476,492,486,500,1
463,479,491,491,500,493,476,547,489,486,1
493,477,517,489,479,480,477,496,491,512,-1
556,475,479,494,488,489,476,469,466,531,-1
453,476,456,510,476,463,476,400,492,461,1
529,476,477,505,476,495,476,514,506,479,-1
448,473,486,536,482,457,475,492,478,523,-1
430,476,439,537,493,474,477,554,502,475,-1
485,477,510,544,482,450,476,460,472,506,-1
494,477,496,499,478,472,476,528,494,512,1
504,476,492,477,485,475,476,506,471,512,1
509,474,462,504,477,479,476,493,468,509,-1
470,475,499,514,477,463,476,449,500,479,-1
538,477,512,525,475,485,477,447,514,502,1
469,476,468,476,486,440,476,509,507,506,1
433,477,498,522,471,488,476,511,493,486,-1
463,476,479,471,479,480,476,511,476,533,1
509,475,460,510,481,483,476,539,497,491,1
502,476,485,515,505,463,475,504,482,505,1
474,476,482,506,495,497,477,441,504,445,-1
506,479,494,487,475,484,476,566,473,455,1
463,478,490,510,486,464,475,499,488,482,1
511,477,496,482,496,487,476,454,485,480,-1
487,478,520,511,464,457,476,393,478,491,1
530,477,514,446,477,473,476,400,498,497,1
563,476,483,505,480,481,476,517,469,499,1
437,475,496,507,484,472,476,467,481,471,1
523,477,464,524,488,482,475,471,491,486,-1
525,476,501,507,479,475,475,502,483,478,1
497,475,481,474,484,477,476,532,489,484,1
556,476,471,509,473,456,477,454,500,432,1
593,472,487,505,485,471,475,506,499,525,-1
506,476,481,527,487,473,477,454,491,517,1
553,475,470,521,479,485,477,483,493,483,-1
537,477,546,476,483,483,477,470,457,526,1
502,477,479,477,482,480,476,465,492,469,1
459,476,462,476,492,482,477,450,484,475,1
445,476,545,498,478,482,476,459,479,469,-1
534,476,496,505,469,448,476,495,496,498,1
493,477,443,491,478,495,475,522,487,481,1
534,476,515,466,480,460,476,421,501,468,1
504,476,467,511,489,478,477,430,481,475,1
462,475,494,471,474,457,477,521,488,440,1
466,477,495,503,482,475,476,426,484,555,1
551,478,493,488,488,476,475,436,479,484,-1
549,477,529,477,489,476,476,448,504,494,1
495,477,459,487,473,455,476,461,482,499,1
494,478,471,515,476,499,476,518,500,479,-1
540,477,485,487,487,494,476,492,487,506,-1
581,475,467,463,483,492,475,450,496,464,-1
483,476,537,475,487,501,477,445,468,520,-1
562,477,515,501,465,454,476,500,480,497,1
493,477,469,476,488,472,476,560,491,465,1
488,475,512,517,504,476,478,448,497,490,-1
545,477,517,485,498,489,475,500,457,478,-1
576,476,488,519,480,487,475,494,490,434,-1
527,476,493,496,484,484,476,504,514,493,1
520,477,494,479,489,474,476,473,489,472,1
481,474,464,478,497,472,477,509,492,479,-1
525,476,503,532,489,487,476,455,513,483,1
536,475,517,463,474,499,476,471,487,459,1
454,475,453,457,488,479,477,482,484,476,1
421,474,494,503,473,465,476,471,494,528,-1
544,475,485,480,485,474,477,489,495,462,1
544,476,532,484,481,474,478,536,471,530,-1
518,476,493,482,488,482,475,434,463,469,1
483,472,533,484,469,463,476,432,469,472,1
518,475,520,516,476,469,476,596,478,454,-1
447,477,494,553,479,456,476,414,481,474,1
488,477,489,513,483,498,476,485,478,474,1
523,476,502,517,491,498,476,472,476,473,-1
503,480,521,502,495,471,476,492,474,451,-1
467,477,479,487,491,483,476,419,500,482,-1
461,476,480,464,486,486,476,468,491,452,-1
480,476,458,455,483,449,476,500,486,468,-1
510,475,481,508,477,489,476,493,485,491,1
515,476,487,498,488,485,476,464,468,466,1
562,475,489,501,487,481,476,398,513,506,-1
488,476,503,493,489,471,476,462,477,519,1
511,477,517,501,488,485,477,554,478,477,-1
571,477,460,471,478,516,476,504,481,437,-1
515,478,483,506,492,468,476,452,498,486,1
398,473,446,467,475,492,477,496,501,495,1
501,477,483,548,482,463,477,496,478,491,-1
491,475,495,487,483,482,476,560,508,457,1
528,477,505,499,488,480,475,486,488,491,-1
475,479,457,507,464,489,476,496,488,535,1
522,473,465,493,493,472,476,489,483,470,1
466,476,474,482,477,481,476,523,520,460,-1
476,475,515,462,498,483,476,494,470,487,1
502,481,478,462,481,487,476,502,516,530,-1
476,476,488,469,488,465,476,526,496,515,-1
483,476,476,486,473,467,477,366,501,484,-1
511,475,486,517,498,487,475,580,486,485,1
447,478,470,482,480,468,476,453,496,460,1
581,476,498,488,480,455,476,518,475,508,-1
546,477,491,509,473,478,477,425,483,492,-1
511,479,512,489,487,498,475,430,500,478,1
446,477,516,484,486,492,476,448,483,448,1
483,477,468,481,493,471,476,464,444,504,1
525,476,448,502,491,474,476,442,477,486,1
556,477,517,489,482,472,476,499,482,467,1
493,474,494,498,483,464,476,481,498,528,1
485,477,485,497,489,503,477,497,493,484,1
455,475,452,487,489,491,476,484,494,497,1
468,476,499,507,485,466,477,465,477,472,1
500,475,508,470,488,483,476,467,504,477,1
510,478,520,523,489,486,476,533,494,555,1
497,477,494,524,486,470,476,529,476,488,-1
488,479,469,509,494,465,475,488,477,440,1
622,475,479,491,484,474,476,481,470,495,-1
450,475,460,488,492,464,477,522,459,504,-1
457,476,472,521,492,476,477,474,489,472,-1
498,478,484,490,468,477,476,547,482,512,-1
531,477,501,480,478,472,475,501,489,539,1
518,475,471,541,491,468,476,445,472,456,1
383,475,498,506,493,464,476,506,465,458,1
501,475,563,504,478,489,477,497,507,505,-1
522,478,484,474,485,458,477,476,482,524,1
517,477,488,503,489,479,476,467,476,409,1
521,475,492,483,478,470,478,550,464,467,-1
450,477,488,470,478,478,477,566,491,507,1
515,476,483,477,484,476,476,449,478,527,-1
473,475,499,489,500,494,475,452,486,509,1
487,477,489,455,475,485,476,491,482,465,1
464,476,520,527,493,472,476,475,483,486,-1
563,476,497,472,483,483,476,500,493,467,-1
542,475,484,507,483,475,476,447,483,488,1
539,477,473,502,479,456,476,505,501,462,1
575,477,476,491,488,488,476,533,491,500,1
574,476,505,494,485,476,476,542,493,483,-1
461,477,512,497,476,479,477,418,485,545,-1
441,476,512,480,483,498,476,469,462,480,-1
505,477,497,499,488,490,476,538,497,473,-1
489,475,481,527,492,488,477,507,497,484,1
